Sitename,SPECIES,COMMONNAME,LAT,LONG
"Oakview Rise, Blanchardstown","Oakview Rise, Blanchardstown","Oakview Rise, Blanch",53.39291886,-6.412551603
"Oakview Way, Blanchardstown","Oakview Way, Blanchardstown","Oakview Way, Blancha",53.39218181,-6.413705584
"Brookhaven Rise, Blanchardstown","Brookhaven Rise, Blanchardstown","Brookhaven Rise, Bla",53.39803242,-6.384662215
"Corduff Crescent, Blanchardstown","Corduff Crescent, Blanchardstown","Corduff Crescent, Bl",53.39622762,-6.377701122
"Auburn Avenue, Castleknock",Acer platanoides,Norway Maple,53.37586019,-6.359571252
"Highfield Crescent, Swords",Acer campestre,Field Maple,53.45446587,-6.229297401
"Highfield Crescent, Swords",Acer campestre,Field Maple,53.45467114,-6.228984293
"Cherry Garth, Swords",Acer campestre,Field Maple,53.45177764,-6.238967557
"Cherry Garth, Swords",Acer pseudoplatanus,Sycamore,53.4519647,-6.237924392
"Highfield Green, Swords",Acer campestre,Field Maple,53.45468322,-6.226776111
"Highfield Green, Swords",Acer campestre,Field Maple,53.45461567,-6.226935651
"Highfield Green, Swords",Acer campestre,Field Maple,53.45477702,-6.227701403
"Highfield Green, Swords",Acer campestre,Field Maple,53.45501065,-6.228258197
"Highfield Green, Swords",Acer campestre,Field Maple,53.45536979,-6.229782645
"Highfield Green, Swords",Acer campestre,Field Maple,53.45539647,-6.229891287
"Highfield Green, Swords",Acer campestre,Field Maple,53.45483837,-6.232082601
"Highfield Green, Swords",Acer campestre,Field Maple,53.45537817,-6.230160336
"Highfield Green, Swords",Acer campestre,Field Maple,53.45528343,-6.230346296
"Cherry Garth, Swords",Acer campestre,Field Maple,53.4525665,-6.239606323
"Mooretown Road, Swords",Acer campestre,Field Maple,53.46326857,-6.232527811
"Cherry Garth, Swords",Acer campestre,Field Maple,53.45164448,-6.238347125
"Cherry Garth, Swords",Acer campestre,Field Maple,53.45168453,-6.238540265
"Cherry Garth, Swords",Acer campestre,Field Maple,53.45183108,-6.239227737
"Cherry Garth, Swords",Acer campestre,Field Maple,53.45179553,-6.23860311
"Cherry Garth, Swords",Acer campestre,Field Maple,53.45245834,-6.239284874
"Cherry Garth, Swords",Acer campestre,Field Maple,53.45294121,-6.238246907
"Cherry Garth, Swords",Acer campestre,Field Maple,53.45302884,-6.238717042
"Highfield Crescent, Swords",Acer platanoides,Norway Maple,53.45402534,-6.229901221
"Daleview Road, Swords",Acer platanoides 'Globosum',Mop-Head Maple,53.46511959,-6.236891853
"Cherry Garth, Swords",Acer pseudoplatanus,Sycamore,53.45228302,-6.238194377
"Hilltown Court, Swords",Acer platanoides,Norway Maple,53.45500606,-6.235114823
"Lissenhall Court, Swords",Acer campestre,Field Maple,53.46349954,-6.20989338
"Lissenhall Court, Swords",Acer campestre,Field Maple,53.46346818,-6.209994989
"Cherry Garth, Swords",Prunus serrulata,Japanese Cherry,53.45258463,-6.239817688
"Daleview Road, Swords",Acer platanoides,Norway Maple,53.46451058,-6.237285286
"Highfield Crescent, Swords",Acer campestre,Field Maple,53.45475294,-6.2288889
"Lissenhall Park, Swords",Acer campestre,Field Maple,53.46464522,-6.209374566
"Rathbeale Court, Swords",Acer campestre,Field Maple,53.46151015,-6.22570185
"The Nurseries, Swords",Acer campestre,Field Maple,53.44851845,-6.237169065
"Daleview Road, Swords",Acer platanoides 'Globosum',Mop-Head Maple,53.46500397,-6.237003112
"Daleview Road, Swords",Acer platanoides 'Globosum',Mop-Head Maple,53.46381618,-6.237952241
"Daleview Road, Swords",Acer platanoides 'Globosum',Mop-Head Maple,53.46442429,-6.237563982
"Daleview Road, Swords",Acer platanoides,Norway Maple,53.46469229,-6.237103976
"Daleview Road, Swords",Acer platanoides 'Globosum',Mop-Head Maple,53.46409917,-6.237685576
"Highfield Crescent, Swords",Acer platanoides,Norway Maple,53.45415367,-6.229907624
"Daleview Road, Swords",Acer platanoides 'Globosum',Mop-Head Maple,53.46469301,-6.237298805
"Daleview Road, Swords",Acer campestre,Field Maple,53.46484565,-6.237180592
"Daleview Road, Swords",Acer campestre,Field Maple,53.46394525,-6.237807604
"Cherry Garth, Swords",Acer campestre,Field Maple,53.61249956,-6.189815432
"Highfield Crescent, Swords",Acer campestre,Field Maple,53.45460653,-6.229093272
"Highfield Green, Swords",Acer campestre,Field Maple,53.45498799,-6.231184816
"The Nurseries, Swords",Acer campestre,Field Maple,53.44847191,-6.236591458
"Broadmeadows Road, Swords",Acer campestre,Field Maple,53.4642815,-6.227926454
"Cherry Garth, Swords",Acer campestre,Field Maple,53.45246171,-6.239513409
"Daleview Road, Swords",Acer platanoides 'Globosum',Mop-Head Maple,53.46524912,-6.236547357
"Daleview Road, Swords",Acer platanoides 'Globosum',Mop-Head Maple,53.46512482,-6.236655213
"Daleview Road, Swords",Acer campestre,Field Maple,53.4649571,-6.236816972
"Highfield Crescent, Swords",Acer platanoides,Norway Maple,53.45464387,-6.229235643
"Highfield Crescent, Swords",Acer campestre,Field Maple,53.45453632,-6.229200074
"Highfield Crescent, Swords",Acer campestre,Field Maple,53.45396976,-6.230049867
"Highfield Crescent, Swords",Acer campestre,Field Maple,53.45391964,-6.230184134
"Highfield Crescent, Swords",Acer campestre,Field Maple,53.45490992,-6.228743104
"Highfield Crescent, Swords",Acer campestre,Field Maple,53.45438023,-6.229411921
"Highfield Green, Swords",Acer platanoides,Norway Maple,53.45519592,-6.229268367
"Hilltown Court, Swords",Acer campestre,Field Maple,53.45477962,-6.235207021
"Lissenhall Court, Swords",Acer campestre,Field Maple,53.46342658,-6.209342308
"Lissenhall Court, Swords",Acer campestre,Field Maple,53.46344151,-6.20946305
"Lissenhall Court, Swords",Acer campestre,Field Maple,53.46346494,-6.209634781
"Lissenhall Court, Swords",Acer campestre,Field Maple,53.4634859,-6.209786439
"Lissenhall Park, Swords",Acer campestre,Field Maple,53.4645772,-6.208793908
"The Court, Glasmore, Swords",Acer campestre,Field Maple,53.46129808,-6.233545828
"The Court, Glasmore, Swords",Acer campestre,Field Maple,53.46129696,-6.233470588
"The Nurseries, Swords",Acer platanoides,Norway Maple,53.44854696,-6.23737727
"The Nurseries, Swords",Acer campestre,Field Maple,53.44849005,-6.236742289
"The Brambles, Skerries",Acer campestre,Field Maple,53.57783601,-6.117522014
"Kelly's Bay Strand, Skerries",Fraxinus excelsior,Common Ash,53.58269761,-6.129321299
"The Brambles, Skerries",Acer campestre,Field Maple,53.57756668,-6.118462879
"The Brambles, Skerries",Acer campestre,Field Maple,53.57772546,-6.11792041
