Name,Census_2006, Name,Census_2006
AIRPORT,1611, AIRPORT,66
BALBRIGGAN RURAL,9615, BALBRIGGAN RURAL,353
BALBRIGGAN URBAN,6731, BALBRIGGAN URBAN,275
BALDOYLE,5942, BALDOYLE,174
BALGRIFFIN,911, BALGRIFFIN,18
BALLYBOGHIL,950, BALLYBOGHIL,16
BALSCADDEN,653, BALSCADDEN,12
BLANCHARDSTOWN-ABBOTSTOWN,4122, BLANCHARDSTOWN-ABBOTSTOWN,172
BLANCHARDSTOWN-BLAKESTOWN,32288, BLANCHARDSTOWN-BLAKESTOWN,1243
BLANCHARDSTOWN-COOLMINE,10774, BLANCHARDSTOWN-COOLMINE,828
BLANCHARDSTOWN-CORDUFF,4806, BLANCHARDSTOWN-CORDUFF,311
BLANCHARDSTOWN-DELWOOD,4955, BLANCHARDSTOWN-DELWOOD,147
BLANCHARDSTOWN-MULHUDDART,2785, BLANCHARDSTOWN-MULHUDDART,186
BLANCHARDSTOWN-ROSELAWN,1831, BLANCHARDSTOWN-ROSELAWN,42
BLANCHARDSTOWN-TYRRELSTOWN,1559, BLANCHARDSTOWN-TYRRELSTOWN,125
CASTLEKNOCK-KNOCKMAROON,17115, CASTLEKNOCK-KNOCKMAROON,447
CASTLEKNOCK-PARK,4395, CASTLEKNOCK-PARK,71
CLONMETHAN,625, CLONMETHAN,19
DONABATE,7600, DONABATE,185
DUBBER,3747, DUBBER,139
GARRISTOWN,1182, GARRISTOWN,17
HOLLYWOOD,998, HOLLYWOOD,31
HOLMPATRICK,3154, HOLMPATRICK,60
HOWTH,8196, HOWTH,169
KILSALLAGHAN,2081, KILSALLAGHAN,55
KINSALEY,5526, KINSALEY,120
LUCAN NORTH,1163, LUCAN NORTH,14
LUSK,7048, LUSK,206
MALAHIDE EAST,6213, MALAHIDE EAST,107
MALAHIDE WEST,6271, MALAHIDE-WEST,104
PORTMARNOCK NORTH,4588, PORTMARNOCK NORTH,80
PORTMARNOCK SOUTH,3522, PORTMARNOCK SOUTH,78
RUSH,8280, RUSH,254
SKERRIES,8175, SKERRIES,258
SUTTON,5914, SUTTON,142
SWORDS-FORREST,12443, SWORDS-FORREST,358
SWORDS-GLASMORE,7799, SWORDS-GLASMORE,249
SWORDS-LISSENHALL,9072, SWORDS-LISSENHALL,324
SWORDS-SEATOWN,5934, SWORDS-SEATOWN,105
SWORDS VILLAGE,2514, SWORDS-VILLAGE,95
THE WARD,5181, THE WARD,224
TURNAPIN,1723, TURNAPIN,48
