Name,Census_2006
AIRPORT,1611
BALBRIGGAN RURAL,9615
BALBRIGGAN URBAN,6731
BALDOYLE,5942
BALGRIFFIN,911
BALLYBOGHIL,950
BALSCADDEN,653
BLANCHARDSTOWN-ABBOTSTOWN,4122
BLANCHARDSTOWN-BLAKESTOWN,32288
BLANCHARDSTOWN-COOLMINE,10774
BLANCHARDSTOWN-CORDUFF,4806
BLANCHARDSTOWN-DELWOOD,4955
BLANCHARDSTOWN-MULHUDDART,2785
BLANCHARDSTOWN-ROSELAWN,1831
BLANCHARDSTOWN-TYRRELSTOWN,1559
CASTLEKNOCK-KNOCKMAROON,17115
CASTLEKNOCK-PARK,4395
CLONMETHAN,625
DONABATE,7600
DUBBER,3747
GARRISTOWN,1182
HOLLYWOOD,998
HOLMPATRICK,3154
HOWTH,8196
KILSALLAGHAN,2081
KINSALEY,5526
LUCAN NORTH,1163
LUSK,7048
MALAHIDE EAST,6213
MALAHIDE WEST,6271
PORTMARNOCK NORTH,4588
PORTMARNOCK SOUTH,3522
RUSH,8280
SKERRIES,8175
SUTTON,5914
SWORDS-FORREST,12443
SWORDS-GLASMORE,7799
SWORDS-LISSENHALL,9072
SWORDS-SEATOWN,5934
SWORDS VILLAGE,2514
THE WARD,5181
TURNAPIN,1723
