x2011,Name,y2006
3998,AIRPORT,1611
15146,BALBRIGGAN RURAL,9615
7530,BALBRIGGAN URBAN,6731
6870,BALDOYLE,5942
1642,BALGRIFFIN,911
1020,BALLYBOGHIL,950
666,BALSCADDEN,653
4863,BLANCHARDSTOWN-ABBOTSTOWN,4122
35970,BLANCHARDSTOWN-BLAKESTOWN,32288
10831,BLANCHARDSTOWN-COOLMINE,10774
3799,BLANCHARDSTOWN-CORDUFF,4806
5034,BLANCHARDSTOWN-DELWOOD,4955
3861,BLANCHARDSTOWN-MULHUDDART,2785
1678,BLANCHARDSTOWN-ROSELAWN,1831
2120,BLANCHARDSTOWN-TYRRELSTOWN,1559
18071,CASTLEKNOCK-KNOCKMAROON,17115
5128,CASTLEKNOCK-PARK,4395
785,CLONMETHAN,625
8730,DONABATE,7600
6330,DUBBER,3747
1434,GARRISTOWN,1182
1250,HOLLYWOOD,998
3218,HOLMPATRICK,3154
8261,HOWTH,8196
2199,KILSALLAGHAN,2081
8441,KINSALEY,5526
1358,LUCAN NORTH,1163
8814,LUSK,7048
6769,MALAHIDE EAST,6213
6270,MALAHIDE WEST,6271
4110,PORTMARNOCK NORTH,4588
3462,PORTMARNOCK SOUTH,3522
9207,RUSH,8280
8344,SKERRIES,8175
5605,SUTTON,5914
7737,SWORDS-FORREST,12443
13868,SWORDS-GLASMORE,7799
9676,SWORDS-LISSENHALL,9072
6535,SWORDS-SEATOWN,5934
2571,SWORDS VILLAGE,2514
8181,THE WARD,5181
1669,TURNAPIN,1723
