Name,Population 2006,Unemployed 2006
AIRPORT,1611,66
BALBRIGGAN RURAL,9615,353
BALBRIGGAN URBAN,6731,275
BALDOYLE,5942,174
BALGRIFFIN,911,18
BALLYBOGHIL,950,16
BALSCADDEN,653,12
BLANCHARDSTOWN-ABBOTSTOWN,4122,172
BLANCHARDSTOWN-BLAKESTOWN,32288,1243
BLANCHARDSTOWN-COOLMINE,10774,828
BLANCHARDSTOWN-CORDUFF,4806,311
BLANCHARDSTOWN-DELWOOD,4955,147
BLANCHARDSTOWN-MULHUDDART,2785,186
BLANCHARDSTOWN-ROSELAWN,1831,42
BLANCHARDSTOWN-TYRRELSTOWN,1559,125
CASTLEKNOCK-KNOCKMAROON,17115,447
CASTLEKNOCK-PARK,4395,71
CLONMETHAN,625,19
DONABATE,7600,185
DUBBER,3747,139
GARRISTOWN,1182,17
HOLLYWOOD,998,31
HOLMPATRICK,3154,60
HOWTH,8196,169
KILSALLAGHAN,2081,55
KINSALEY,5526,120
LUCAN NORTH,1163,14
LUSK,7048,206
MALAHIDE EAST,6213,107
MALAHIDE WEST,6271,104
PORTMARNOCK NORTH,4588,80
PORTMARNOCK SOUTH,3522,78
RUSH,8280,254
SKERRIES,8175,258
SUTTON,5914,142
SWORDS-FORREST,12443,358
SWORDS-GLASMORE,7799,249
SWORDS-LISSENHALL,9072,324
SWORDS-SEATOWN,5934,105
SWORDS VILLAGE,2514,95
THE WARD,5181,224
TURNAPIN,1723,48
